,,,,,,,,,,,,
주 간 식 단 표,,,,,,,,,,,,
,,,,,,,,,,,,
,7월 13일(월),7월 14일(화),7월 15일(수),7월 16일(목),7월 17일(금),7월 18일(토),7월 19일(일),,,,,
"조

식",백미밥 ,백미밥,백미밥,백미밥 ,백미밥 ,,,,,,,
,호박새우젓국,열무된장국,버섯들깨국,알길이된장국,꽃게무국,,,,,,,
,미트볼야채볶음 ,돼지고기장조림,소불고기 ,오리야채볶음 ,스크렘블에그,,,,,,,
,콩자반 ,고사리나물,오이지무침,쌈무 *머스타드 ,파프리카어묵볶음,,,,,,,
,깍두기 ,배추김치,포기김치 ,포기김치 ,배추김치,,,,,,,
,코코볼*우유,샐프핫도그,초코파이 ,아몬드시리얼*우유,감자샐러드빵,,,,,,,
"중

식",흑미밥,백미밥,♥초복♥,백미밥 ,흑미밥 ,백미밥,백미밥 ,,,,,
,황태미역국,옥수수스프,닭다리 닭죽 ,참치김치찌개 ,잔치국수,유부장국,오징어무국,,,,,
,파채불고기,토마토스파게티 ,메밀전병 ,어니언돈까스,김치전 ,카레라이스,안동찜닭,,,,,
,건새우볶음,돈육찹스테이크 ,아삭이고추무침,돈나물초무침,브로컬리두부무침,맛쵸킹탕수육,참나물무침,,,,,
,깻순겉절이,망고양상추샐러드 ,쌈배추겉절이 / 수박  ,자반볶음,과일사라다 ,무말랭이무침,배추김치,,,,,
,석박지,배추김치,열무김치 ,깍두기,열무김치,배추김치,떠먹는 요구르트,,,,,
"석

식",흑미밥 ,백미밥,백미밥 ,백미밥 ,백미밥 ,햄야채볶음밥,백미밥 ,,,,,
,대구탕,파송송꼐란국,순두부찌개,콩나물국,돈등뼈해장국,열무된장국,사골떡국,,,,,
,부추전,부대햄볶음,돈육단호박찜,닭갈비 ,떡갈비케찹볶음,납작군만두*칠리소스 ,삼치무조림,,,,,
,오이무침,타코야끼 ,새송이버섯볶음,애호박나물,얼갈이나물,부추겉절이 ,햄감자채볶음,,,,,
,바나나,부추겉절이 ,해초무침,땅콩조림,오복지무침,고구마샐러드,마늘쫑장아찌,,,,,
,배추김치 ,석밖지,배추김치,배추김치,배추김치,배추김치,배추김치,,,,,
,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,,,,,
상기 메뉴 및 원산지는 기후 및 시장성이나 식재료 수급상황에 따라 변경될 수 있습니다.,,,,,,,,,,,,
"원
산
지","쌀(밥,죽,누룽지): 국내산
현미,찹쌀,흑미: 국내산","돈삼겹: 외국산 
등갈비: 외국산
족발,베이컨: 외국산","돼지(탕,조림,볶음): 국내산","닭(탕,조림,볶음): 국내산","김치(배추,고춧가루): 국내산","콩(두부류,콩가루,콩비지):
중국산 연두부:수입산","고등어: 국내산,노르웨이
주꾸미: 베트남",,,,,
,,,"쇠고기(국,조림,볶음): 호주산 ","오리(훈제,볶음,탕): 국내산","찌개,탕,국
(배추:국내산,고춧가루:중국산)","코다리,동태: 러시아","낙지: 중국산
꽃게: 중국산",,,,,
,,오징어: 국내산/칠레산/중국산,"수산물가공품 및 식육(소,닭,돼지)가공품: 국내산/수입혼용",,"미꾸라지,장어:중국산",갈치:수입산 아귀:중국산,조기: 국산,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,7월 20일(월),7월 21일(화),7월 22일(수),7월 23일(목),7월 24일(금),7월 25일(토),7월 26일(일),,,,,
"조

식",백미밥,백미밥,백미밥 ,백미밥,백미밥,,,,,,,
,야채참치죽,누룽지,야채참치즉,야채계란죽,야채계란죽,,,,,,,
,스크램블에그,돼지고기장조림,두부지짐,해물완자전,참치야채볶음,,,,,,,
,양배추샐러드,숙주나물,낙지젓갈,낫지전갈,배추김치,,,,,,,
,배추김치,배추김치,배추김치,배추김치,햄버거,,,,,,,
,모닝빵,딸기우유,버터롤,딸기우유,,,,,,,,
"중

식",백미밥,백미밥 ,백미밥 ,야채비빔밥,♥중복♥,백미밥 ,백미밥 ,,,,,
,게살스프 ,김치콩나물국,소고기미역국,얼갈이된장국,삼계탕,열무된장국,돼지고기김치찌개 ,,,,,
,함박스테이크 ,제육볶음,닭감자조림,소고기약고추장,새우살애호박전,메밀전병,조기구이,,,,,
,마카로니샐러드 ,양배추쌈*강된장,아몬드지리멸치볶음,도시락김 ,콩나물무침,비엔나야채볶음,탕평채,,,,,
,양념깻잎지 ,파래자반무침 ,연두부*양념장 ,핫도그*케찹 ,무생채,오복지무침,고사리나물 ,,,,,
,배추김치 ,배추김치 ,배추김치,열무김치,갓김치,배추김치,깍두기,,,,,
"석

식",백미밥,백미밥 ,백미밥 ,백미밥 ,백미밥 ,백미밥 ,백미밥 ,,,,,
,닭곰탕 ,어묵무국,아욱된장국,열무된장국,호박새우젓국,우동장국,얼갈이된장국,,,,,
,옥수수볼 튀김,국물떡볶이,미트볼카레소스,표고갈비찜,아귀콩나물찜,짜장소스,한식잡채 ,,,,,
,쫄면무침 ,김말이튀김,참나물무침,얼갈이나물,부들어묵볶음 ,고구마튀김,치킨너겟*머스타드,,,,,
,브로컬리*초장,단무지무침,청경채겉절이 ,오이지무침,해초무침,단무지무침,열무나물,,,,,
,배추김치,배추김치,배추김치,배추김치,배추김치,배추김치,배추김치,,,,,
,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,,,,,
상기 메뉴 및 원산지는 기후 및 시장성이나 식재료 수급상황에 따라 변경될 수 있습니다.,,,,,,,,,,,,
"원
산
지","쌀(밥,죽,누룽지): 국내산
현미,찹쌀,흑미: 국내산","돈삼겹: 외국산 
등갈비: 외국산
족발,베이컨: 외국산","돼지(탕,조림,볶음): 국내산","닭(탕,조림,볶음): 국내산","김치(배추,고춧가루): 국내산","콩(두부류,콩가루,콩비지):
중국산 연두부:수입산","고등어: 국내산,노르웨이
주꾸미: 베트남",,,,,
,,,"쇠고기(국,조림,볶음): 호주산 ","오리(훈제,볶음,탕): 국내산","찌개,탕,국
(배추:국내산,고춧가루:중국산)","코다리,동태: 러시아","낙지: 중국산
꽃게: 중국산",,,,,
,,오징어: 국내산/칠레산/중국산,"수산물가공품 및 식육(소,닭,돼지)가공품: 국내산/수입혼용",,"미꾸라지,장어:중국산",갈치:수입산 아귀:중국산,조기: 국산,,,총 19끼니 중,,
,,,,,,,,,,,,
,,,,,,,,,,상,,7
,,,,,,,,,,,,
,,,,,,,,,,,,
,7월 27일 (월),7월 28일 (화),7월 29일 (수),7월 30일 (목),7월 31일 (금),,,,,,,
"조

식",후리가케밥,닭죽,백미밥,햄볶음밥,계란죽,,,,,,,
,유부장국,메추리알장조림,맑은순두부국,열무된장국,해물완자전,,,,,,,
,모듬소시지볶음,깍두기,돈육장조림,섭산적데리야끼,배추김치,,,,,,,
,배추김치,버터롤빵,배추김치,섞박지,햄버거,,,,,,,
,셀프토스트,바나나우유,시리얼*우유,감자샐러드빵,,,,,,,,
,,,,,,,,,,,,
"중

식",백미밥,백미밥,♥수육특식♥,백미밥,흑미밥,,,,,,,
,유부우동국,배추된장국,근대된장국,바지락칼국수,파송송계란국,,,,,,,
,바싹불고기 ,아비꼬카레라이스,보쌈수육,고등어구이,베이컨크림파스타,,,,,,,
,총알새송이볶음,파채돈까스*오리엔탈,쌈채소*쌈장,청포묵김가루무침,함박스테이크,,,,,,,
,깻잎순겉절이 ,오이피클,들기름막국수,무생채,오이피클,,,,,,,
,배추김치,배추김치,보쌈김치,갓김치,배추김치,,,,,,,
"석

식",백미밥 ,백미밥 ,백미밥,백미밥,흑미밥,,,,,,,
,버섯들깨국,황태미역국,팽이미소국,북어채계란국,얼갈이된장국,,,,,,,
,야채비빔만두,오리불고기 ,새우까스*타르타르,제육볶음,언양식불고기*데리야끼,,,,,,,
,메밀면무침,오이고추된장무침,단무지무침,상추*쌈장,콩나물무침,,,,,,,
,꼬시래기무침,우엉조림,요구르트,오복지무침 ,쥐어채볶음,,,,,,,
,배추김치,배추김치,배추김치,배추김치,배추김치,,,,,,,
,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,,,,,
상기 메뉴 및 원산지는 기후 및 시장성이나 식재료 수급상황에 따라 변경될 수 있습니다.,,,,,,,,,,,,
"원
산
지","쌀(밥,죽,누룽지): 국내산
현미,찹쌀,흑미: 국내산","돈삼겹: 외국산 
등갈비: 외국산
족발,베이컨: 외국산","돼지(탕,조림,볶음): 국내산","닭(탕,조림,볶음): 국내산","김치(배추,고춧가루): 국내산","콩(두부류,콩가루,콩비지):
중국산 연두부:수입산","고등어: 국내산,노르웨이
주꾸미: 베트남",,,,,
,,,"쇠고기(국,조림,볶음): 호주산 ","오리(훈제,볶음,탕): 국내산","찌개,탕,국
(배추:국내산,고춧가루:중국산)","코다리,동태: 러시아","낙지: 중국산
꽃게: 중국산",,,,,
,,오징어: 국내산/칠레산/중국산,"수산물가공품 및 식육(소,닭,돼지)가공품: 국내산/수입혼용",,"미꾸라지,장어:중국산",갈치:수입산 아귀:중국산,조기: 국산,,,,,
